name	parent_name	type	size
discovery.py	setuptools	file	20799
dist.py	setuptools	file	45578
errors.py	setuptools	file	2464
extension.py	setuptools	file	5591
glob.py	setuptools	file	4873
gui-32.exe	setuptools	file	65536
gui-64.exe	setuptools	file	75264
gui-arm64.exe	setuptools	file	137728
gui.exe	setuptools	file	65536
installer.py	setuptools	file	3824
launch.py	setuptools	file	812
logging.py	setuptools	file	1210
monkey.py	setuptools	file	4857
msvc.py	setuptools	file	47724
namespaces.py	setuptools	file	3093
package_index.py	setuptools	file	40329
py34compat.py	setuptools	file	245
sandbox.py	setuptools	file	14348
script (dev).tmpl	setuptools	file	218
script.tmpl	setuptools	file	138
unicode_utils.py	setuptools	file	941
version.py	setuptools	file	144
wheel.py	setuptools	file	8376
windows_support.py	setuptools	file	718
_deprecation_warning.py	setuptools	file	218
_entry_points.py	setuptools	file	1972
_imp.py	setuptools	file	2392
_importlib.py	setuptools	file	1311
_itertools.py	setuptools	file	675
_path.py	setuptools	file	749
_reqs.py	setuptools	file	501
__init__.py	setuptools	file	8429
alias.py	command	file	2381
bdist_egg.py	command	file	16623
bdist_rpm.py	command	file	1182
build.py	command	file	6589
build_clib.py	command	file	4415
build_ext.py	command	file	15821
build_py.py	command	file	14115
develop.py	command	file	7012
dist_info.py	command	file	4800
easy_install.py	command	file	85662
editable_wheel.py	command	file	31188
egg_info.py	command	file	26795
install.py	command	file	5163
install_egg_info.py	command	file	2226
install_lib.py	command	file	3875
install_scripts.py	command	file	2612
launcher manifest.xml	command	file	628
py36compat.py	command	file	4946
register.py	command	file	468
rotate.py	command	file	2128
saveopts.py	command	file	658
sdist.py	command	file	7071
setopt.py	command	file	5086
test.py	command	file	8102
upload.py	command	file	462
upload_docs.py	command	file	7494
__init__.py	command	file	396
_validate_pyproject	config	dir	293705
expand.py	config	file	16319
pyprojecttoml.py	config	file	19304
setupcfg.py	config	file	25198
_apply_pyprojecttoml.py	config	file	13398
__init__.py	config	file	1121
error_reporting.py	_validate_pyproject	file	11266
extra_validations.py	_validate_pyproject	file	1153
fastjsonschema_exceptions.py	_validate_pyproject	file	1612
fastjsonschema_validations.py	_validate_pyproject	file	269900
formats.py	_validate_pyproject	file	8736
__init__.py	_validate_pyproject	file	1038
__init__.py	extern	file	2512
command	_distutils	dir	208459
archive_util.py	_distutils	file	8603
bcppcompiler.py	_distutils	file	14789
ccompiler.py	_distutils	file	47369
cmd.py	_distutils	file	17973
config.py	_distutils	file	4920
core.py	_distutils	file	9451
cygwinccompiler.py	_distutils	file	12537
debug.py	_distutils	file	139
dep_util.py	_distutils	file	3423
dir_util.py	_distutils	file	8082
dist.py	_distutils	file	50186
errors.py	_distutils	file	3589
extension.py	_distutils	file	10270
fancy_getopt.py	_distutils	file	17910
filelist.py	_distutils	file	13713
file_util.py	_distutils	file	8226
log.py	_distutils	file	1972
msvc9compiler.py	_distutils	file	30235
msvccompiler.py	_distutils	file	23602
py38compat.py	_distutils	file	217
py39compat.py	_distutils	file	639
spawn.py	_distutils	file	3517
sysconfig.py	_distutils	file	18858
text_file.py	_distutils	file	12096
